food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Green Lentil,100g,257 cal,1079 kJ,"1 cup, dry (60 g)",154 cal,647 kJ,1 oz. (28 g),72 cal,302 kJ
Kidney Beans,100g,337 cal,1415 kJ,1 cup (184 g),620 cal,2604 kJ,1 oz. (28 g),94 cal,396 kJ
Lentils,100g,353 cal,1483 kJ,1 cup (192 g),678 cal,2847 kJ,1 oz. (28 g),99 cal,415 kJ
Lima Beans,100g,71 cal,298 kJ,1/2 cup (124 g),88 cal,370 kJ,1 oz. (28 g),20 cal,83 kJ
Marron,100g,210 cal,882 kJ,1 serving (100 g),210 cal,882 kJ,1 oz. (28 g),59 cal,247 kJ
Miso,100g,199 cal,836 kJ,1 cup (275 g),547 cal,2299 kJ,1 oz. (28 g),56 cal,234 kJ
Mung Beans,100g,12 cal,50 kJ,1 cup (125 g),15 cal,63 kJ,1 oz. (28 g),3 cal,14 kJ
Natto,100g,212 cal,890 kJ,1 cup (175 g),371 cal,1558 kJ,1 oz. (28 g),59 cal,249 kJ
Navy Bean,100g,337 cal,1415 kJ,1 cup (208 g),701 cal,2943 kJ,1 oz. (28 g),94 cal,396 kJ
Okara,100g,77 cal,323 kJ,1 cup (122 g),94 cal,394 kJ,1 oz. (28 g),22 cal,90 kJ
Okra,100g,33 cal,139 kJ,1 cup (100 g),33 cal,139 kJ,1 oz. (28 g),9 cal,39 kJ
Peanuts,100g,567 cal,2381 kJ,1 oz. (28.35 g),159 cal,667 kJ,1 oz. (28 g),159 cal,667 kJ
Peas,100g,42 cal,176 kJ,1 cup (63 g),26 cal,111 kJ,1 oz. (28 g),12 cal,49 kJ
Pecan,100g,691 cal,2902 kJ,1 cup (99 g),684 cal,2873 kJ,1 oz. (28 g),193 cal,813 kJ
Pinto Beans,100g,347 cal,1457 kJ,1 cup (193 g),670 cal,2812 kJ,1 oz. (28 g),97 cal,408 kJ
Puy Lentils,100g,345 cal,1449 kJ,1 serving (100 g),345 cal,1449 kJ,1 oz. (28 g),97 cal,406 kJ
Rajma,100g,140 cal,588 kJ,1 serving (100 g),140 cal,588 kJ,1 oz. (28 g),39 cal,165 kJ
Red Beans,100g,124 cal,521 kJ,1 can (266 g),330 cal,1386 kJ,1 oz. (28 g),35 cal,146 kJ
Red Kidney Bean,100g,337 cal,1415 kJ,1 cup (184 g),620 cal,2604 kJ,1 oz. (28 g),94 cal,396 kJ
Red Lentils,100g,329 cal,1382 kJ,1 cup (197 g),648 cal,2723 kJ,1 oz. (28 g),92 cal,387 kJ
Refried Beans,100g,91 cal,382 kJ,1 can (443 g),403 cal,1692 kJ,1 oz. (28 g),25 cal,107 kJ
Roasted Soybeans,100g,471 cal,1978 kJ,1 cup (172 g),810 cal,3402 kJ,1 oz. (28 g),132 cal,554 kJ
Silken Tofu,100g,55 cal,231 kJ,1 slice (84 g),46 cal,194 kJ,1 oz. (28 g),15 cal,65 kJ
Soft Tofu,100g,61 cal,256 kJ,1 cubic inch (18 g),11 cal,46 kJ,1 oz. (28 g),17 cal,72 kJ
Soy Cheese,100g,235 cal,987 kJ,1 slice (17 g),40 cal,168 kJ,1 oz. (28 g),66 cal,276 kJ
Soy Mayonnaise,100g,322 cal,1352 kJ,1 tbsp (15 g),48 cal,203 kJ,1 oz. (28 g),90 cal,379 kJ
Soy Nut Butter,100g,562 cal,2360 kJ,1 serving (32 g),180 cal,755 kJ,1 oz. (28 g),157 cal,661 kJ
Soy Nuts,100g,471 cal,1978 kJ,1 cup (256 g),1206 cal,5064 kJ,1 oz. (28 g),132 cal,554 kJ
Soy Yogurt,100g,66 cal,277 kJ,1 container (227 g),150 cal,629 kJ,1 oz. (28 g),18 cal,78 kJ
Soya Cheese,100g,235 cal,987 kJ,1 slice (17 g),40 cal,168 kJ,1 oz. (28 g),66 cal,276 kJ
Soybeans,100g,147 cal,617 kJ,1 cup (256 g),376 cal,1580 kJ,1 oz. (28 g),41 cal,173 kJ
Soynut Butter,100g,562 cal,2360 kJ,1 serving (32 g),180 cal,755 kJ,1 oz. (28 g),157 cal,661 kJ
Sugar Peas,100g,42 cal,176 kJ,1 serving (100 g),42 cal,176 kJ,1 oz. (28 g),12 cal,49 kJ
Sweet Peas,100g,48 cal,202 kJ,1 serving (100 g),48 cal,202 kJ,1 oz. (28 g),13 cal,57 kJ
Tempeh,100g,193 cal,811 kJ,1 cup (166 g),320 cal,1346 kJ,1 oz. (28 g),54 cal,227 kJ
Textured Soy Protein,100g,571 cal,2398 kJ,1 cup (56 g),320 cal,1343 kJ,1 oz. (28 g),160 cal,671 kJ
Textured Vegetable Protein,100g,333 cal,1399 kJ,1 cup (96 g),320 cal,1343 kJ,1 oz. (28 g),93 cal,392 kJ
Tofu,100g,76 cal,319 kJ,1/2 cup (124 g),94 cal,396 kJ,1 oz. (28 g),21 cal,89 kJ
White Beans,100g,336 cal,1411 kJ,1 cup (215 g),722 cal,3034 kJ,1 oz. (28 g),94 cal,395 kJ
Yam Bean,100g,38 cal,160 kJ,1 cup (130 g),49 cal,208 kJ,1 oz. (28 g),11 cal,45 kJ
Yellow Lentils,100g,304 cal,1277 kJ,1 cup (200 g),608 cal,2554 kJ,1 oz. (28 g),85 cal,358 kJ
Yuba,100g,176 cal,739 kJ,1 oz. (28.35 g),49 cal,207 kJ,1 oz. (28 g),49 cal,207 kJ
Alligator,100g,232 cal,974 kJ,1 serving (153 g),355 cal,1490 kJ,1 oz. (28 g),65 cal,273 kJ
Beef,100g,248 cal,1042 kJ,1 steak (164 g),407 cal,1709 kJ,1 oz. (28 g),69 cal,292 kJ
Beef Brisket,100g,242 cal,1016 kJ,1 piece (1780 g),4308 cal,18085 kJ,1 oz. (28 g),68 cal,284 kJ
Beef Jerky,100g,410 cal,1722 kJ,1 piece (20 g),82 cal,344 kJ,1 oz. (28 g),115 cal,482 kJ
Beef Ribs,100g,238 cal,1000 kJ,1 piece (225 g),536 cal,2250 kJ,1 oz. (28 g),67 cal,280 kJ
Beef Tenderloin,100g,218 cal,916 kJ,1 steak (140 g),305 cal,1282 kJ,1 oz. (28 g),61 cal,256 kJ
Chicken,100g,219 cal,920 kJ,1/2 chicken (334 g),731 cal,3073 kJ,1 oz. (28 g),61 cal,258 kJ
Chicken Breast,100g,172 cal,722 kJ,1 breast (200 g),344 cal,1444 kJ,1 oz. (28 g),48 cal,202 kJ
Chicken Drumstick,100g,185 cal,777 kJ,1 drumstick (71 g),131 cal,552 kJ,1 oz. (28 g),52 cal,218 kJ
Chicken Fat,100g,898 cal,3772 kJ,1 cup (205 g),1841 cal,7733 kJ,1 oz. (28 g),251 cal,1056 kJ
Chicken Giblets,100g,158 cal,664 kJ,1 cup (145 g),229 cal,963 kJ,1 oz. (28 g),44 cal,186 kJ
Chicken Gizzards,100g,146 cal,613 kJ,1 cup (145 g),212 cal,889 kJ,1 oz. (28 g),41 cal,172 kJ
Chicken Leg,100g,174 cal,731 kJ,1 leg (199 g),346 cal,1455 kJ,1 oz. (28 g),49 cal,205 kJ
Chicken Liver,100g,167 cal,701 kJ,1 liver (44 g),73 cal,308 kJ,1 oz. (28 g),47 cal,196 kJ
Chicken Meat,100g,172 cal,722 kJ,1 breast (200 g),344 cal,1444 kJ,1 oz. (28 g),48 cal,202 kJ
Chicken Thigh,100g,229 cal,962 kJ,1 thigh (111 g),254 cal,1068 kJ,1 oz. (28 g),64 cal,269 kJ
Chicken Wing,100g,266 cal,1117 kJ,1 wing (29 g),77 cal,324 kJ,1 oz. (28 g),74 cal,313 kJ
Chuck Steak,100g,277 cal,1163 kJ,1 steak (310 g),859 cal,3605 kJ,1 oz. (28 g),78 cal,326 kJ
Cubed Steak,100g,199 cal,836 kJ,1 serving (165 g),328 cal,1379 kJ,1 oz. (28 g),56 cal,234 kJ
Duck,100g,337 cal,1415 kJ,1/2 duck (634 g),2137 cal,8971 kJ,1 oz. (28 g),94 cal,396 kJ
Filet Mignon,100g,267 cal,1121 kJ,1 fillet (104 g),278 cal,1166 kJ,1 oz. (28 g),75 cal,314 kJ
Flank Steak,100g,194 cal,815 kJ,1 steak (188 g),365 cal,1532 kJ,1 oz. (28 g),54 cal,228 kJ
Flat Iron Steak,100g,137 cal,575 kJ,1 steak (252 g),345 cal,1449 kJ,1 oz. (28 g),38 cal,161 kJ
Ground Beef,100g,246 cal,1033 kJ,1 patty (70 g),172 cal,723 kJ,1 oz. (28 g),69 cal,289 kJ
Ground Round,100g,246 cal,1033 kJ,1 piece (113 g),278 cal,1167 kJ,1 oz. (28 g),69 cal,289 kJ
Ham,100g,163 cal,685 kJ,1 slice (145 g),236 cal,993 kJ,1 oz. (28 g),46 cal,192 kJ
New York Strip Steak,100g,199 cal,836 kJ,1 steak (214 g),426 cal,1789 kJ,1 oz. (28 g),56 cal,234 kJ
Ostrich,100g,145 cal,609 kJ,1 serving (85 g),123 cal,518 kJ,1 oz. (28 g),41 cal,171 kJ
Pork,100g,196 cal,823 kJ,1 chop (185 g),363 cal,1523 kJ,1 oz. (28 g),55 cal,230 kJ
Pork Baby Back Ribs,100g,212 cal,890 kJ,1 rib (70 g),148 cal,623 kJ,1 oz. (28 g),59 cal,249 kJ
Pork Chops,100g,196 cal,823 kJ,1 chop (131 g),257 cal,1078 kJ,1 oz. (28 g),55 cal,230 kJ
Pork Country-Style Ribs,100g,247 cal,1037 kJ,1 rib (60 g),148 cal,622 kJ,1 oz. (28 g),69 cal,290 kJ
Pork Loin,100g,204 cal,857 kJ,1 chop (83 g),169 cal,711 kJ,1 oz. (28 g),57 cal,240 kJ
Pork Roast,100g,254 cal,1067 kJ,1 roast (830 g),2108 cal,8856 kJ,1 oz. (28 g),71 cal,299 kJ
Pork Steaks,100g,196 cal,823 kJ,1 steak (264 g),517 cal,2173 kJ,1 oz. (28 g),55 cal,230 kJ
Roast Beef,100g,140 cal,588 kJ,1 roast (515 g),721 cal,3028 kJ,1 oz. (28 g),39 cal,165 kJ
Round Steak,100g,182 cal,764 kJ,1 steak (236 g),430 cal,1803 kJ,1 oz. (28 g),51 cal,214 kJ
Schnitzel,100g,156 cal,655 kJ,1 schnitzel (130 g),203 cal,852 kJ,1 oz. (28 g),44 cal,183 kJ
Spare Ribs,100g,238 cal,1000 kJ,1 rack (1400 g),3332 cal,14000 kJ,1 oz. (28 g),67 cal,280 kJ
Standing Rib Roast,100g,333 cal,1399 kJ,1 serving (113 g),376 cal,1581 kJ,1 oz. (28 g),93 cal,392 kJ
T-Bone Steak,100g,202 cal,848 kJ,1 steak (287 g),580 cal,2434 kJ,1 oz. (28 g),57 cal,237 kJ
Turkey,100g,189 cal,794 kJ,1 turkey (3812 g),7205 cal,30267 kJ,1 oz. (28 g),53 cal,222 kJ
Turkey Breast,100g,135 cal,567 kJ,1/2 breast (864 g),1166 cal,4899 kJ,1 oz. (28 g),38 cal,159 kJ
Turkey Legs,100g,208 cal,874 kJ,1 leg (546 g),1136 cal,4772 kJ,1 oz. (28 g),58 cal,245 kJ
Turkey Steak,100g,189 cal,794 kJ,1 steak (170 g),321 cal,1350 kJ,1 oz. (28 g),53 cal,222 kJ
Turkey Wings,100g,221 cal,928 kJ,1 wing (24 g),53 cal,223 kJ,1 oz. (28 g),62 cal,260 kJ
Almond Milk,100ml,17 cal,71 kJ,1 cup (235 ml),40 cal,167 kJ,1 fl. oz. (30 ml),5 cal,21 kJ
Buttermilk,100ml,62 cal,260 kJ,1 cup (254 ml),157 cal,660 kJ,1 fl. oz. (30 ml),19 cal,78 kJ
Chocolate Mousse,100g,225 cal,945 kJ,1/2 cup (202 g),455 cal,1909 kJ,1 oz. (28 g),63 cal,265 kJ
Coconut Milk,100ml,230 cal,966 kJ,1 cup (240 ml),552 cal,2318 kJ,1 fl. oz. (30 ml),69 cal,290 kJ
Coffee Creamer,100g,195 cal,819 kJ,1 tbsp (15 g),29 cal,123 kJ,1 oz. (28 g),55 cal,229 kJ
Condensed Milk,100g,321 cal,1348 kJ,1 cup (306 g),982 cal,4125 kJ,1 oz. (28 g),90 cal,377 kJ
Cottage Cheese,100g,98 cal,412 kJ,1 cup (210 g),206 cal,865 kJ,1 oz. (28 g),27 cal,115 kJ
Cream,100g,242 cal,1016 kJ,1 tbsp (15 g),36 cal,152 kJ,1 oz. (28 g),68 cal,284 kJ
Creme Fraiche,100g,393 cal,1651 kJ,1 tbsp (14 g),55 cal,231 kJ,1 oz. (28 g),110 cal,462 kJ
Curd,100g,98 cal,412 kJ,1 cup (210 g),206 cal,865 kJ,1 oz. (28 g),27 cal,115 kJ
Custard,100g,122 cal,512 kJ,1/2 cup (141 g),172 cal,722 kJ,1 oz. (28 g),34 cal,143 kJ
Evaporated Milk,100g,135 cal,567 kJ,1 cup (252 g),340 cal,1429 kJ,1 oz. (28 g),38 cal,159 kJ
Goat Milk,100g,69 cal,290 kJ,1 cup (244 g),168 cal,708 kJ,1 oz. (28 g),19 cal,81 kJ
Hot Chocolate,100ml,89 cal,374 kJ,1 cup (266 ml),237 cal,995 kJ,1 fl. oz. (30 ml),27 cal,112 kJ
Kefir,100ml,55 cal,231 kJ,1 cup (246 ml),135 cal,568 kJ,1 fl. oz. (30 ml),17 cal,69 kJ
Lactose-free Milk,100ml,52 cal,218 kJ,1 cup (250 ml),130 cal,545 kJ,1 fl. oz. (30 ml),16 cal,65 kJ
Lassi,100ml,75 cal,315 kJ,1 glass (200 ml),150 cal,630 kJ,1 fl. oz. (30 ml),23 cal,95 kJ
Milk,100ml,61 cal,256 kJ,1 cup (244 ml),149 cal,625 kJ,1 fl. oz. (30 ml),18 cal,77 kJ
Plain Yogurt,100g,61 cal,256 kJ,1 container (227 g),138 cal,581 kJ,1 oz. (28 g),17 cal,72 kJ
Powdered Milk,100g,496 cal,2083 kJ,1 cup (68 g),337 cal,1416 kJ,1 oz. (28 g),139 cal,583 kJ
Quark,100g,145 cal,609 kJ,1 cup (220 g),319 cal,1340 kJ,1 oz. (28 g),41 cal,171 kJ
Rice Milk,100ml,49 cal,206 kJ,1 cup (245 ml),120 cal,505 kJ,1 fl. oz. (30 ml),15 cal,62 kJ
Rice Pudding,100g,118 cal,496 kJ,1 serving (113 g),133 cal,560 kJ,1 oz. (28 g),33 cal,139 kJ
Semi-skimmed Milk,100ml,50 cal,210 kJ,1 serving (250 ml),125 cal,525 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Semolina Pudding,100g,67 cal,281 kJ,1 serving (143 g),96 cal,402 kJ,1 oz. (28 g),19 cal,79 kJ
Skim Milk,100ml,35 cal,147 kJ,1 cup (247 ml),86 cal,363 kJ,1 fl. oz. (30 ml),11 cal,44 kJ
Sour Cream,100g,181 cal,760 kJ,1 tbsp (12 g),22 cal,91 kJ,1 oz. (28 g),51 cal,213 kJ
Soy Milk,100ml,45 cal,189 kJ,1 cup (243 ml),109 cal,459 kJ,1 fl. oz. (30 ml),14 cal,57 kJ
Sweetened Condensed Milk,100ml,321 cal,1348 kJ,1 cup (306 ml),982 cal,4125 kJ,1 fl. oz. (30 ml),96 cal,404 kJ
Tzatziki,100g,117 cal,491 kJ,1 tbsp (15 g),18 cal,74 kJ,1 oz. (28 g),33 cal,137 kJ
Whipped Cream,100g,257 cal,1079 kJ,1 tbsp (3 g),8 cal,32 kJ,1 oz. (28 g),72 cal,302 kJ
Whole Milk,100ml,61 cal,256 kJ,1 cup (244 ml),149 cal,625 kJ,1 fl. oz. (30 ml),18 cal,77 kJ
Yogurt,100g,61 cal,256 kJ,1 container (227 g),138 cal,581 kJ,1 oz. (28 g),17 cal,72 kJ
ACE Drink,100ml,44 cal,185 kJ,1/2 litre (500 ml),220 cal,925 kJ,1 fl. oz. (30 ml),13 cal,56 kJ
Apple Spritzer,100ml,24 cal,101 kJ,1/2 litre (500 ml),120 cal,505 kJ,1 fl. oz. (30 ml),7 cal,30 kJ
Chai,100ml,0 cal,0 kJ,1 cup (236 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Chai Tea,100ml,0 cal,0 kJ,1 cup (236 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Chocolate Milk,100ml,89 cal,374 kJ,1 cup (266 ml),237 cal,995 kJ,1 fl. oz. (30 ml),27 cal,112 kJ
Chocolate Milkshake,100ml,125 cal,525 kJ,10 fl. oz. (283 ml),354 cal,1486 kJ,1 fl. oz. (30 ml),38 cal,158 kJ
Club Mate,100ml,30 cal,126 kJ,1/2 litre (500 ml),150 cal,630 kJ,1 fl. oz. (30 ml),9 cal,38 kJ
Coca Cola,100ml,42 cal,176 kJ,1 can (330 ml),139 cal,581 kJ,1 fl. oz. (30 ml),13 cal,53 kJ
Coffee,100ml,1 cal,4 kJ,1 cup (237 ml),2 cal,9 kJ,1 fl. oz. (30 ml),0 cal,1 kJ
Coke Zero,100ml,1 cal,4 kJ,1 can (330 ml),3 cal,13 kJ,1 fl. oz. (30 ml),0 cal,1 kJ
Cola,100ml,42 cal,176 kJ,1 can (330 ml),139 cal,581 kJ,1 fl. oz. (30 ml),13 cal,53 kJ
Crystal Light,100ml,263 cal,1105 kJ,8 fl. oz. (237 ml),623 cal,2619 kJ,1 fl. oz. (30 ml),79 cal,332 kJ
Diet Coke,100ml,1 cal,4 kJ,1 can (330 ml),3 cal,13 kJ,1 fl. oz. (30 ml),0 cal,1 kJ
Egg Cream,100ml,94 cal,395 kJ,1 serving (125 ml),118 cal,494 kJ,1 fl. oz. (30 ml),28 cal,119 kJ
Egg Nog,100ml,88 cal,370 kJ,1 cup (254 ml),224 cal,940 kJ,1 fl. oz. (30 ml),26 cal,111 kJ
Elderflower Cordial,100ml,29 cal,122 kJ,8 oz. (227 ml),66 cal,277 kJ,1 fl. oz. (30 ml),9 cal,37 kJ
Evian,100ml,0 cal,0 kJ,1 bottle (500 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Gatorade,100ml,23 cal,97 kJ,12 fl. oz. (355 ml),82 cal,344 kJ,1 fl. oz. (30 ml),7 cal,29 kJ
Ginger Tea,100ml,0 cal,0 kJ,1 cup (254 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Hawaiian Punch,100ml,31 cal,130 kJ,8 oz. (227 ml),70 cal,295 kJ,1 fl. oz. (30 ml),9 cal,39 kJ
Hi-C,100ml,49 cal,206 kJ,12 fl. oz. (253 ml),124 cal,521 kJ,1 fl. oz. (30 ml),15 cal,62 kJ
Horchata,100ml,54 cal,227 kJ,8 fl. oz. (240 ml),130 cal,545 kJ,1 fl. oz. (30 ml),16 cal,68 kJ
Hot Chocolate,100ml,89 cal,374 kJ,1 cup (266 ml),237 cal,995 kJ,1 fl. oz. (30 ml),27 cal,112 kJ
Ice Tea,100ml,27 cal,113 kJ,12 fl. oz. (355 ml),96 cal,401 kJ,1 fl. oz. (30 ml),8 cal,34 kJ
Iced Tea,100ml,27 cal,113 kJ,12 fl. oz. (355 ml),96 cal,401 kJ,1 fl. oz. (30 ml),8 cal,34 kJ
Karamalz,100ml,37 cal,155 kJ,1 cup (237 ml),88 cal,367 kJ,1 fl. oz. (30 ml),11 cal,47 kJ
Kombucha,100ml,13 cal,55 kJ,8 oz. (227 ml),30 cal,125 kJ,1 fl. oz. (30 ml),4 cal,17 kJ
Kool-Aid,100ml,26 cal,109 kJ,8 fl. oz. (237 ml),62 cal,258 kJ,1 fl. oz. (30 ml),8 cal,33 kJ
Lassi,100ml,104 cal,437 kJ,1 cup (250 ml),260 cal,1093 kJ,1 fl. oz. (30 ml),31 cal,131 kJ
Latte Macchiato,100ml,57 cal,239 kJ,1 cup (300 ml),171 cal,717 kJ,1 fl. oz. (30 ml),17 cal,72 kJ
Lemonade,100ml,42 cal,176 kJ,12 fl. oz. (355 ml),149 cal,625 kJ,1 fl. oz. (30 ml),13 cal,53 kJ
Malt Beer,100ml,37 cal,155 kJ,1 cup (237 ml),88 cal,367 kJ,1 fl. oz. (30 ml),11 cal,47 kJ
Milk,100ml,61 cal,256 kJ,1 cup (244 ml),149 cal,625 kJ,1 fl. oz. (30 ml),18 cal,77 kJ
Milkshake (dry),100g,329 cal,1382 kJ,1 tbsp (7 g),23 cal,97 kJ,1 oz. (28 g),92 cal,387 kJ
Milo,100g,409 cal,1718 kJ,3 tbsp (24 g),98 cal,412 kJ,1 oz. (28 g),115 cal,481 kJ
Nectar,100ml,53 cal,223 kJ,8 oz. (227 ml),120 cal,506 kJ,1 fl. oz. (30 ml),16 cal,67 kJ
Nestea,100ml,36 cal,151 kJ,1 cup (240 ml),86 cal,362 kJ,1 fl. oz. (30 ml),11 cal,45 kJ
Non-alcoholic Beer,100ml,37 cal,155 kJ,"1 can, bottle (354 ml)",131 cal,549 kJ,1 fl. oz. (30 ml),11 cal,47 kJ
Powerade,100ml,16 cal,67 kJ,1 bottle (500 ml),80 cal,335 kJ,1 fl. oz. (30 ml),5 cal,20 kJ
Slurpee,100ml,4 cal,17 kJ,8 oz. (240 ml),10 cal,41 kJ,1 fl. oz. (30 ml),1 cal,5 kJ
Slush Puppie,100ml,50 cal,210 kJ,8 fl. oz. (237 ml),119 cal,498 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Smoothie,100ml,37 cal,155 kJ,8 oz. (240 ml),89 cal,372 kJ,1 fl. oz. (30 ml),11 cal,47 kJ
Soy Milk,100ml,45 cal,189 kJ,1 cup (243 ml),109 cal,459 kJ,1 fl. oz. (30 ml),14 cal,57 kJ
Strawberry Milkshake,100ml,113 cal,475 kJ,10 fl. oz. (283 ml),320 cal,1344 kJ,1 fl. oz. (30 ml),34 cal,143 kJ
Tang,100g,381 cal,1600 kJ,1/8 cup (24 g),91 cal,384 kJ,1 oz. (28 g),107 cal,448 kJ
Tap Water,100ml,0 cal,0 kJ,1 fl. oz. (29.6 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Tea,100ml,1 cal,4 kJ,1 cup (237 ml),2 cal,9 kJ,1 fl. oz. (30 ml),0 cal,1 kJ
Vanilla Milkshake,100ml,149 cal,626 kJ,10 fl. oz. (283 ml),422 cal,1772 kJ,1 fl. oz. (30 ml),45 cal,188 kJ
Volvic,100ml,0 cal,0 kJ,1/2 litre (500 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Water,100ml,0 cal,0 kJ,1 fl. oz. (29.6 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Yerba Mate,100ml,62 cal,260 kJ,1 serving (50 ml),31 cal,130 kJ,1 fl. oz. (30 ml),19 cal,78 kJ
Acorn,100g,387 cal,1625 kJ,1 oz. (28.35 g),108 cal,455 kJ,1 oz. (28 g),108 cal,455 kJ
Alfalfa Sprouts,100g,23 cal,97 kJ,1 cup (33 g),8 cal,32 kJ,1 oz. (28 g),6 cal,27 kJ
Almonds,100g,575 cal,2415 kJ,1 cup (95 g),546 cal,2294 kJ,1 oz. (28 g),161 cal,676 kJ
Beechnut,100g,576 cal,2419 kJ,1 oz. (28.35 g),161 cal,677 kJ,1 oz. (28 g),161 cal,677 kJ
Brazil Nuts,100g,656 cal,2755 kJ,1 cup (133 g),872 cal,3664 kJ,1 oz. (28 g),184 cal,771 kJ
Breadfruit,100g,191 cal,802 kJ,1 oz. (28.35 g),53 cal,225 kJ,1 oz. (28 g),53 cal,225 kJ
Butternut,100g,612 cal,2570 kJ,1 cup (120 g),734 cal,3084 kJ,1 oz. (28 g),171 cal,720 kJ
Cashew,100g,553 cal,2323 kJ,1 oz. (28.35 g),155 cal,650 kJ,1 oz. (28 g),155 cal,650 kJ
Chestnut,100g,213 cal,895 kJ,1 cup (145 g),309 cal,1298 kJ,1 oz. (28 g),60 cal,251 kJ
Chia Seeds,100g,486 cal,2041 kJ,1 oz. (28.35 g),136 cal,571 kJ,1 oz. (28 g),136 cal,571 kJ
Coconut,100g,354 cal,1487 kJ,1 coconut (397 g),1405 cal,5903 kJ,1 oz. (28 g),99 cal,416 kJ
Cotton Seeds,100g,506 cal,2125 kJ,1 cup (149 g),754 cal,3166 kJ,1 oz. (28 g),142 cal,595 kJ
Flaxseed,100g,534 cal,2243 kJ,1 cup (168 g),897 cal,3768 kJ,1 oz. (28 g),150 cal,628 kJ
Ginkgo Nuts,100g,182 cal,764 kJ,1 oz. (28.35 g),51 cal,214 kJ,1 oz. (28 g),51 cal,214 kJ
Goa Bean,100g,409 cal,1718 kJ,1 cup (182 g),744 cal,3127 kJ,1 oz. (28 g),115 cal,481 kJ
Hazelnut,100g,628 cal,2638 kJ,1 cup (75 g),471 cal,1979 kJ,1 oz. (28 g),176 cal,739 kJ
Hickory Nuts,100g,657 cal,2759 kJ,1 cup (120 g),788 cal,3311 kJ,1 oz. (28 g),184 cal,773 kJ
Lima Beans,100g,71 cal,298 kJ,1/2 cup (124 g),88 cal,370 kJ,1 oz. (28 g),20 cal,83 kJ
Lotus Seed,100g,89 cal,374 kJ,1 oz. (28.35 g),25 cal,105 kJ,1 oz. (28 g),25 cal,105 kJ
Macadamia Nuts,100g,718 cal,3016 kJ,1 cup (134 g),962 cal,4041 kJ,1 oz. (28 g),201 cal,844 kJ
Peanuts,100g,567 cal,2381 kJ,1 cup (146 g),828 cal,3476 kJ,1 oz. (28 g),159 cal,667 kJ
Peas,100g,81 cal,340 kJ,1 cup (145 g),117 cal,493 kJ,1 oz. (28 g),23 cal,95 kJ
Pecan Nuts,100g,691 cal,2902 kJ,1 cup (99 g),684 cal,2873 kJ,1 oz. (28 g),193 cal,813 kJ
Pecans,100g,691 cal,2902 kJ,1 cup (99 g),684 cal,2873 kJ,1 oz. (28 g),193 cal,813 kJ
Pili Nuts,100g,719 cal,3020 kJ,1 cup (120 g),863 cal,3624 kJ,1 oz. (28 g),201 cal,846 kJ
Pine Nuts,100g,673 cal,2827 kJ,1 cup (135 g),909 cal,3816 kJ,1 oz. (28 g),188 cal,792 kJ
Pinto Beans,100g,347 cal,1457 kJ,1 cup (193 g),670 cal,2812 kJ,1 oz. (28 g),97 cal,408 kJ
Pistachios,100g,562 cal,2360 kJ,1 cup (123 g),691 cal,2903 kJ,1 oz. (28 g),157 cal,661 kJ
Poppy Seeds,100g,525 cal,2205 kJ,1 tbsp (8.8 g),42 cal,176 kJ,1 oz. (28 g),147 cal,617 kJ
Pumpkin Seeds,100g,559 cal,2348 kJ,1 cup (129 g),721 cal,3029 kJ,1 oz. (28 g),157 cal,657 kJ
Radish Seeds,100g,43 cal,181 kJ,1 cup (38 g),16 cal,69 kJ,1 oz. (28 g),12 cal,51 kJ
Safflower Seeds,100g,517 cal,2171 kJ,1 oz. (28.35 g),145 cal,608 kJ,1 oz. (28 g),145 cal,608 kJ
Sesame Seeds,100g,573 cal,2407 kJ,1 cup (144 g),825 cal,3466 kJ,1 oz. (28 g),160 cal,674 kJ
Smoked Almonds,100g,575 cal,2415 kJ,1 cup (95 g),546 cal,2294 kJ,1 oz. (28 g),161 cal,676 kJ
Soy Beans,100g,147 cal,617 kJ,1 cup (256 g),376 cal,1580 kJ,1 oz. (28 g),41 cal,173 kJ
Sunflower Seeds,100g,584 cal,2453 kJ,1 cup (140 g),818 cal,3434 kJ,1 oz. (28 g),164 cal,687 kJ
Sweet Chestnut,100g,194 cal,815 kJ,1 oz. (28.35 g),54 cal,228 kJ,1 oz. (28 g),54 cal,228 kJ
Walnuts,100g,654 cal,2747 kJ,1 cup (80 g),523 cal,2198 kJ,1 oz. (28 g),183 cal,769 kJ
Watermelon,100g,30 cal,126 kJ,1 wedge (286 g),86 cal,360 kJ,1 oz. (28 g),8 cal,35 kJ
